date,stid,time,tair,tdew,wmax,max_gust,dewd,matches?,dewd_120_change,tair_10min_change,dewd_10min_change,tair_diff_120,tdew_diff_120,tair2,tdew2,dewpt_dpr_ratio_120,Pre_dewpt_dpr,Post_dewpt_dpr,Dewpt_dpr_change,heat burst
2020-04-24,FREE,2020-04-24 03:50:00,20.77,6.50491,14.57,25.32,14.26509,True,0.46258799999999844,3.6799999999999997,8.358946999999997,0.6099999999999994,0.1474120000000001,18.97,6.714641,0.9685905680447388,19.155299999999997,20.24067,1.0853700000000046,1
2020-05-25,BEAV,2020-05-25 01:25:00,25.34,10.64951,14.41,15.61,14.69049,True,2.13204,3.0599999999999987,8.408064999999997,3.370000000000001,1.237960000000001,22.01,9.973531,0.8732628207528832,22.873484,20.692729999999997,2.180754000000004,1
2020-06-05,OKCE,2020-06-05 02:50:00,29.31,12.11125,15.06,15.45,17.198749999999997,True,-5.359389999999998,4.16,8.532325,2.7300000000000004,8.08939,29.45,10.90163,1.4526756513865613,15.605670000000002,15.15784,0.4478300000000015,1
2020-06-05,WEAT,2020-06-05 07:40:00,24.0,14.62138,6.337,17.74,9.37862,True,-3.6599699999999995,4.079999999999998,6.582249999999998,-2.4499999999999993,1.2099700000000002,22.72,16.86043,1.6400059454591556,9.43112,7.303700000000001,2.127419999999999,1
2020-07-12,ERIC,2020-07-12 04:20:00,31.93,19.32979,7.317,14.63,12.60021,True,4.052570000000003,2.770000000000003,8.646580000000004,2.700000000000003,-1.35257,31.97,17.44906,0.7566430349767425,22.354100000000003,23.479609999999997,1.125509999999995,1
2020-07-12,KIN2,2020-07-12 05:40:00,25.59,17.81574,11.89,11.89,7.774259999999998,True,-2.8938799999999993,5.52,8.672519999999999,2.4899999999999984,5.383879999999998,22.94,19.67538,1.5929620234489936,13.958139999999998,11.530479999999997,2.4276600000000013,1
2020-07-12,OKCE,2020-07-12 07:20:00,25.13,18.33374,4.214,17.71,6.79626,True,-5.033760000000001,3.9299999999999997,6.158159999999999,-2.6099999999999994,2.4237600000000015,23.28,19.73352,3.856034042553193,9.307479999999998,9.957309999999996,0.6498299999999979,1
2020-08-09,HOOK,2020-08-09 06:45:00,26.78,11.97249,14.7,24.96,14.80751,True,4.173179999999999,4.289999999999999,7.9812689999999975,2.9399999999999977,-1.2331800000000008,24.98,13.2545,0.7801354956010557,16.172259999999998,17.961460000000002,1.7892000000000046,1
2020-08-31,BUTL,2020-08-31 10:20:00,24.16,18.07066,10.22,15.22,6.08934,True,-3.1851299999999974,2.7399999999999984,5.941399999999998,0.8000000000000007,3.985129999999998,22.87,17.25969,2.0967285423574724,4.8932,2.9426200000000016,1.9505799999999986,1
2020-10-12,APAC,2020-10-12 05:45:00,23.15,13.42552,7.481,17.57,9.724479999999998,True,-2.626039999999998,2.740000000000002,6.112520000000002,-0.8299999999999983,1.7960399999999996,20.2,3.687656,1.3699460726582176,16.917492000000003,16.588449999999998,0.3290420000000047,1
2020-10-12,BREC,2020-10-12 04:20:00,24.06,15.01131,16.63,17.93,9.048689999999999,True,0.49056000000000033,3.030000000000001,6.7746200000000005,1.5100000000000016,1.0194400000000012,21.27,5.824927,0.9485745734727572,17.629713,19.46998,1.8402670000000008,1
2020-10-12,HINT,2020-10-12 04:55:00,21.27,4.983068,7.252,17.05,16.286932,True,0.32271100000000175,2.879999999999999,6.140722999999998,1.2800000000000011,0.9572889999999994,19.6,2.655448,0.9805708647681349,18.117297,17.290852,0.8264449999999997,1
