date,stid,time,tair,tdew,wmax,max_gust,dewd,matches?,dewd_110_change,tair_10min_change,dewd_10min_change,tair_diff_110,tdew_diff_110,tair2,tdew2,dewpt_dpr_ratio_110,Pre_dewpt_dpr,Post_dewpt_dpr,Dewpt_dpr_change,heat burst
1/24/17,BEAV,1/24/17 6:45,7.322,1.338248,11.17,12.71,5.983752,TRUE,-0.8660485,4.958,6.1166775,-1.241,-0.3749515,11.2,-1.028684,1.169226001,12.0499255,11.075355,0.9745705,1
1/25/17,COPA,1/25/17 0:45,14.73,2.796642,4.998,10.88,11.933358,TRUE,4.855635,3.88,5.619294,5.07,0.214365,16.45,-0.7063905,0.710784619,18.9467438,18.129346,0.8173978,1
2/12/17,APAC,2/12/17 6:30,15.84,7.178287,12.41,12.41,8.661713,TRUE,3.154601,5.59,5.519982,1.79,-1.364601,15.25,8.087541,0.733030029,13.553757,15.023453,1.469696,1
3/7/17,ALTU,3/7/17 2:05,20.97,4.621837,6.403,12.45,16.348163,TRUE,3.594053,3.23,6.777643,4.69,1.095947,16.75,-1.663,0.819776649,21.3096828,23.002823,1.6931402,1
3/20/17,EVAX,3/20/17 7:50,6.368,-5.742384,6.795,10.52,12.110384,TRUE,1.748538,7.722,7.526306,1.24,-0.508538,9.54,-7.251979,0.873833044,17.176696,18.2808,1.104104,1
3/27/17,WAL2,3/27/17 3:20,16.23,7.346419,11.86,11.86,8.883581,TRUE,1.806398,3.69,6.7597,1.19,-0.616398,15.46,6.357206,0.8310195,13.451909,13.84667,0.394761,1
4/10/17,ERIC,4/10/17 3:05,19.33,-4.444999,7.546,10.91,23.774999,TRUE,-0.087975,3.45,6.535624,1.39,1.477975,20.97,-6.991804,1.003714059,33.226941,31.992493,1.234448,1
6/16/17,TALA,6/16/17 5:40,20.28,17.6948,17.93,17.93,2.5852,TRUE,-0.91966,5.04,7.23771,-0.84,0.07966,19.5,17.22424,1.552169266,4.41376,6.17821,1.76445,1
6/23/17,SLAP,6/23/17 3:50,26.68,14.35463,12.48,19.99,12.32537,TRUE,-1.52085,3.71,8.085135,1.95,3.47085,25.74,13.83793,1.140760534,16.76638,19.22842,2.46204,1
7/3/17,BOIS,7/3/17 2:10,26.7,7.197803,4.802,17.38,19.502197,TRUE,-1.774801,4.53,10.830438,-1.28,0.494801,24.52,6.39887,1.100116283,19.303845,18.53573,0.768115,1
7/8/17,MAYR,7/8/17 11:40,20.35,18.52336,10.98,10.98,1.82664,TRUE,-1.12351,3.48,5.87734,-0.53,0.59351,22.31,16.96519,2.597869526,6.12875,4.93579,1.19296,1
8/5/17,EVAX,8/5/17 5:25,22.88,11.48619,13,15.88,11.39381,TRUE,-5.58878,3.09,5.816585,0.38,5.96878,20.94,15.4875,1.962747824,9.72447,11.69365,1.96918,1
10/30/17,CAMA,10/30/17 6:20,7.558,1.727396,11.76,12.28,5.830604,TRUE,0.1896473,6.422,6.712575,-1.274,-1.4636473,11.36,3.351657,0.968498441,9.34144,10.3566712,1.0152312,1
11/17/17,BOIS,11/17/17 6:50,10.53,-1.330021,5.194,10.71,11.860021,TRUE,2.91233,5.94,5.796243,2.45,-0.46233,11.88,-1.596642,0.80285264,16.878991,16.58156,0.297431,1
11/28/17,HOOK,11/28/17 9:55,5.848,-0.8620911,15.16,15.16,6.7100911,TRUE,2.3951971,5.552,6.2346249,2.362,-0.0331971,9.06,-0.5275576,0.736944395,12.162985,12.1731618,0.0101768,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
date,stid,time,tair,tdew,wmax,max_gust,dewd,matches?,dewd_110_change,tair_10min_change,dewd_10min_change,tair_diff_110,tdew_diff_110,tair2,tdew2,dewpt_dpr_ratio_110,Pre_dewpt_dpr,Post_dewpt_dpr,Dewpt_dpr_change,heat burst
1/24/17,BEAV,1/24/17 6:45,7.322,1.338248,11.17,12.71,5.983752,TRUE,-0.8660485,4.958,6.1166775,-1.241,-0.3749515,11.2,-1.028684,1.169226001,12.0499255,11.075355,0.9745705,1
3/7/17,ALTU,3/7/17 2:05,20.97,4.621837,6.403,12.45,16.348163,TRUE,3.594053,3.23,6.777643,4.69,1.095947,16.75,-1.663,0.819776649,21.3096828,23.002823,1.6931402,1
3/20/17,EVAX,3/20/17 7:50,6.368,-5.742384,6.795,10.52,12.110384,TRUE,1.748538,7.722,7.526306,1.24,-0.508538,9.54,-7.251979,0.873833044,17.176696,18.2808,1.104104,1
3/27/17,WAL2,3/27/17 3:20,16.23,7.346419,11.86,11.86,8.883581,TRUE,1.806398,3.69,6.7597,1.19,-0.616398,15.46,6.357206,0.8310195,13.451909,13.84667,0.394761,1
4/10/17,ERIC,4/10/17 3:05,19.33,-4.444999,7.546,10.91,23.774999,TRUE,-0.087975,3.45,6.535624,1.39,1.477975,20.97,-6.991804,1.003714059,33.226941,31.992493,1.234448,1
6/16/17,TALA,6/16/17 5:40,20.28,17.6948,17.93,17.93,2.5852,TRUE,-0.91966,5.04,7.23771,-0.84,0.07966,19.5,17.22424,1.552169266,4.41376,6.17821,1.76445,1
6/23/17,SLAP,6/23/17 3:50,26.68,14.35463,12.48,19.99,12.32537,TRUE,-1.52085,3.71,8.085135,1.95,3.47085,25.74,13.83793,1.140760534,16.76638,19.22842,2.46204,1
7/3/17,BOIS,7/3/17 2:10,26.7,7.197803,4.802,17.38,19.502197,TRUE,-1.774801,4.53,10.830438,-1.28,0.494801,24.52,6.39887,1.100116283,19.303845,18.53573,0.768115,1
7/8/17,MAYR,7/8/17 11:40,20.35,18.52336,10.98,10.98,1.82664,TRUE,-1.12351,3.48,5.87734,-0.53,0.59351,22.31,16.96519,2.597869526,6.12875,4.93579,1.19296,1
8/5/17,EVAX,8/5/17 5:25,22.88,11.48619,13,15.88,11.39381,TRUE,-5.58878,3.09,5.816585,0.38,5.96878,20.94,15.4875,1.962747824,9.72447,11.69365,1.96918,1
10/30/17,CAMA,10/30/17 6:20,7.558,1.727396,11.76,12.28,5.830604,TRUE,0.1896473,6.422,6.712575,-1.274,-1.4636473,11.36,3.351657,0.968498441,9.34144,10.3566712,1.0152312,1
11/17/17,BOIS,11/17/17 6:50,10.53,-1.330021,5.194,10.71,11.860021,TRUE,2.91233,5.94,5.796243,2.45,-0.46233,11.88,-1.596642,0.80285264,16.878991,16.58156,0.297431,1
,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,
date,stid,time,tair,tdew,wmax,max_gust,dewd,matches?,dewd_110_change,tair_10min_change,dewd_10min_change,tair_diff_110,tdew_diff_110,tair2,tdew2,dewpt_dpr_ratio_110,Pre_dewpt_dpr,Post_dewpt_dpr,Dewpt_dpr_change,heat burst
1/24/17,BEAV,1/24/17 6:45,7.322,1.338248,11.17,12.71,5.983752,TRUE,-0.8660485,4.958,6.1166775,-1.241,-0.3749515,11.2,-1.028684,1.169226001,12.0499255,11.075355,0.9745705,1
3/7/17,ALTU,3/7/17 2:05,20.97,4.621837,6.403,12.45,16.348163,TRUE,3.594053,3.23,6.777643,4.69,1.095947,16.75,-1.663,0.819776649,21.3096828,23.002823,1.6931402,1
3/20/17,EVAX,3/20/17 7:50,6.368,-5.742384,6.795,10.52,12.110384,TRUE,1.748538,7.722,7.526306,1.24,-0.508538,9.54,-7.251979,0.873833044,17.176696,18.2808,1.104104,1
3/27/17,WAL2,3/27/17 3:20,16.23,7.346419,11.86,11.86,8.883581,TRUE,1.806398,3.69,6.7597,1.19,-0.616398,15.46,6.357206,0.8310195,13.451909,13.84667,0.394761,1
4/10/17,ERIC,4/10/17 3:05,19.33,-4.444999,7.546,10.91,23.774999,TRUE,-0.087975,3.45,6.535624,1.39,1.477975,20.97,-6.991804,1.003714059,33.226941,31.992493,1.234448,1
6/16/17,TALA,6/16/17 5:40,20.28,17.6948,17.93,17.93,2.5852,TRUE,-0.91966,5.04,7.23771,-0.84,0.07966,19.5,17.22424,1.552169266,4.41376,6.17821,1.76445,1
6/23/17,SLAP,6/23/17 3:50,26.68,14.35463,12.48,19.99,12.32537,TRUE,-1.52085,3.71,8.085135,1.95,3.47085,25.74,13.83793,1.140760534,16.76638,19.22842,2.46204,1
7/3/17,BOIS,7/3/17 2:10,26.7,7.197803,4.802,17.38,19.502197,TRUE,-1.774801,4.53,10.830438,-1.28,0.494801,24.52,6.39887,1.100116283,19.303845,18.53573,0.768115,1
7/8/17,MAYR,7/8/17 11:40,20.35,18.52336,10.98,10.98,1.82664,TRUE,-1.12351,3.48,5.87734,-0.53,0.59351,22.31,16.96519,2.597869526,6.12875,4.93579,1.19296,1
8/5/17,EVAX,8/5/17 5:25,22.88,11.48619,13,15.88,11.39381,TRUE,-5.58878,3.09,5.816585,0.38,5.96878,20.94,15.4875,1.962747824,9.72447,11.69365,1.96918,1
10/30/17,CAMA,10/30/17 6:20,7.558,1.727396,11.76,12.28,5.830604,TRUE,0.1896473,6.422,6.712575,-1.274,-1.4636473,11.36,3.351657,0.968498441,9.34144,10.3566712,1.0152312,1
11/17/17,BOIS,11/17/17 6:50,10.53,-1.330021,5.194,10.71,11.860021,TRUE,2.91233,5.94,5.796243,2.45,-0.46233,11.88,-1.596642,0.80285264,16.878991,16.58156,0.297431,1
